date,temperature_2m
2024-03-19 00:00:00+00:00,14.818999
2024-03-19 01:00:00+00:00,15.919
2024-03-19 02:00:00+00:00,18.119001
2024-03-19 03:00:00+00:00,22.369001
2024-03-19 04:00:00+00:00,25.919
2024-03-19 05:00:00+00:00,28.219
2024-03-19 06:00:00+00:00,29.319
2024-03-19 07:00:00+00:00,29.769001
2024-03-19 08:00:00+00:00,30.219
2024-03-19 09:00:00+00:00,30.369001
2024-03-19 10:00:00+00:00,29.569
2024-03-19 11:00:00+00:00,29.319
2024-03-19 12:00:00+00:00,28.319
2024-03-19 13:00:00+00:00,24.069
2024-03-19 14:00:00+00:00,23.219
2024-03-19 15:00:00+00:00,21.719
2024-03-19 16:00:00+00:00,20.369001
2024-03-19 17:00:00+00:00,19.919
2024-03-19 18:00:00+00:00,18.869001
2024-03-19 19:00:00+00:00,18.169
2024-03-19 20:00:00+00:00,17.869001
2024-03-19 21:00:00+00:00,18.569
2024-03-19 22:00:00+00:00,17.719
2024-03-19 23:00:00+00:00,16.219
2024-03-20 00:00:00+00:00,16.519001
2024-03-20 01:00:00+00:00,17.119001
2024-03-20 02:00:00+00:00,18.919
2024-03-20 03:00:00+00:00,22.569
2024-03-20 04:00:00+00:00,26.069
2024-03-20 05:00:00+00:00,28.319
2024-03-20 06:00:00+00:00,29.269001
2024-03-20 07:00:00+00:00,29.919
2024-03-20 08:00:00+00:00,30.319
2024-03-20 09:00:00+00:00,30.419
2024-03-20 10:00:00+00:00,30.169
2024-03-20 11:00:00+00:00,29.419
2024-03-20 12:00:00+00:00,28.269001
2024-03-20 13:00:00+00:00,25.769001
2024-03-20 14:00:00+00:00,23.619001
2024-03-20 15:00:00+00:00,22.269001
2024-03-20 16:00:00+00:00,22.369001
2024-03-20 17:00:00+00:00,21.519001
2024-03-20 18:00:00+00:00,20.219
2024-03-20 19:00:00+00:00,19.869001
2024-03-20 20:00:00+00:00,19.069
2024-03-20 21:00:00+00:00,18.369001
2024-03-20 22:00:00+00:00,17.969
2024-03-20 23:00:00+00:00,17.519001
2024-03-21 00:00:00+00:00,16.869001
2024-03-21 01:00:00+00:00,15.818999
2024-03-21 02:00:00+00:00,18.119001
2024-03-21 03:00:00+00:00,20.919
2024-03-21 04:00:00+00:00,23.719
2024-03-21 05:00:00+00:00,26.469
2024-03-21 06:00:00+00:00,28.819
2024-03-21 07:00:00+00:00,30.319
2024-03-21 08:00:00+00:00,31.119001
2024-03-21 09:00:00+00:00,31.569
2024-03-21 10:00:00+00:00,31.569
2024-03-21 11:00:00+00:00,31.269001
2024-03-21 12:00:00+00:00,29.969
2024-03-21 13:00:00+00:00,27.519001
2024-03-21 14:00:00+00:00,25.369001
2024-03-21 15:00:00+00:00,23.969
2024-03-21 16:00:00+00:00,23.369001
2024-03-21 17:00:00+00:00,22.369001
2024-03-21 18:00:00+00:00,21.519001
2024-03-21 19:00:00+00:00,21.069
2024-03-21 20:00:00+00:00,20.269001
2024-03-21 21:00:00+00:00,19.719
2024-03-21 22:00:00+00:00,19.169
2024-03-21 23:00:00+00:00,18.569
2024-03-22 00:00:00+00:00,18.369001
2024-03-22 01:00:00+00:00,18.869001
2024-03-22 02:00:00+00:00,20.469
2024-03-22 03:00:00+00:00,23.319
2024-03-22 04:00:00+00:00,26.319
2024-03-22 05:00:00+00:00,29.019001
2024-03-22 06:00:00+00:00,31.019001
2024-03-22 07:00:00+00:00,32.319
2024-03-22 08:00:00+00:00,33.169
